note, length, volume
49, 0.19, 65
48, 0.05, 65
49, 0.19, 50
54, 0.42, 67
56, 0.42, 66
55, 0.14, 57
56, 0.37, 13
0, 1.1, 7
47, 0.51, 72
53, 0.51, 74
55, 0.93, 40
0, 1.0, 13
57, 0.74, 67
62, 0.42, 76
64, 1.1, 50
0, 1.2, 8
53, 0.51, 65
60, 0.6, 65
58, 0.93, 40
0, 1.0, 10
52, 0.56, 71
57, 0.46, 70
59, 0.05, 68
58, 0.65, 56
59, 0.19, 0
0, 0.7, 15
54, 0.42, 64
59, 0.51, 68
73, 0.79, 46
61, 0.19, 0
0, 1.0, 16
63, 0.46, 80
68, 0.46, 79
70, 1.0, 44
0, 0.79, 19
60, 0.51, 86
65, 0.56, 86
67, 1.1, 46
0, 0.84, 15
59, 0.51, 69
64, 0.56, 78
65, 0.37, 73
66, 0.6, 31
0, 0.98, 19
59, 0.37, 73
64, 0.51, 81
65, 0.51, 75
66, 0.79, 39
0, 0.56, 22
59, 0.46, 70
64, 0.51, 81
65, 0.7, 70
66, 0.42, 7
0, 0.74, 22
58, 0.42, 72
64, 0.51, 83
65, 0.51, 72
66, 0.51, 18
0, 0.84, 9
53, 0.56, 70
58, 0.51, 72
60, 1.1, 42
0, 0.79, 10
50, 0.56, 59
55, 0.46, 68
57, 1.3, 50
0, 0.74, 8
48, 0.56, 61
54, 0.56, 65
56, 0.19, 63
55, 0.33, 56
56, 0.6, 22
0, 0.74, 8
47, 0.51, 61
52, 0.6, 71
54, 0.23, 71
53, 0.14, 67
54, 0.46, 18
0, 1.2, 11
58, 0.56, 69
63, 0.51, 82
64, 0.09, 90
65, 1.0, 46
0, 0.65, 20
55, 0.51, 68
60, 0.51, 72
61, 0.79, 58
62, 0.28, 2
0, 0.88, 6
50, 0.46, 59
53, 0.51, 68
55, 1.0, 40
0, 0.74, 10
56, 0.6, 70
73, 0.46, 80
62, 0.09, 72
63, 1.1, 48
0, 0.7, 17
50, 0.51, 54
55, 0.46, 69
56, 0.51, 65
57, 0.6, 28
0, 0.7, 4
47, 0.6, 73
52, 0.46, 74
53, 0.56, 64
54, 0.51, 25
0, 0.74, 23
58, 0.51, 74
63, 0.46, 78
64, 0.56, 76
65, 0.65, 19
0, 0.65, 20
57, 0.51, 68
62, 0.51, 77
64, 1.2, 57
0, 0.6, 18
56, 0.56, 57
61, 0.65, 64
63, 1.2, 48
0, 0.46, 26
55, 0.46, 59
60, 0.46, 73
62, 0.88, 47
0, 2.4, 3
54, 0.84, 63
59, 0.56, 69
61, 1.1, 40
0, 0.84, 9
50, 0.56, 49
55, 0.46, 66
57, 1.1, 47
0, 0.98, 3
48, 0.46, 52
53, 0.51, 64
55, 1.2, 40
0, 0.74, 24
47, 0.42, 72
52, 0.6, 68
53, 0.19, 57
54, 0.79, 31
0, 0.79, 16
57, 0.6, 69
62, 0.46, 72
64, 0.88, 41
0, 1.0, 10
53, 0.56, 70
58, 0.51, 73
60, 0.93, 46
0, 1.2, 8
50, 0.51, 53
55, 0.51, 65
57, 0.93, 45
0, 0.98, 18
47, 0.46, 71
52, 0.65, 72
54, 0.93, 40
0, 0.79, 16
47, 0.46, 64
54, 0.51, 62
56, 0.14, 59
55, 0.05, 56
56, 0.74, 32
0, 0.79, 13
49, 0.46, 64
54, 0.46, 63
56, 0.09, 62
55, 0.19, 54
56, 0.09, 57
55, 0.14, 49
56, 0.46, 16
0, 1.3, 8
49, 0.51, 67
54, 0.51, 69
56, 0.84, 41
0, 1.1, 11
55, 0.51, 71
60, 0.51, 76
62, 0.79, 40
0, 1.2, 15
63, 0.46, 83
68, 0.51, 78
70, 0.98, 43
0, 0.98, 11
54, 0.51, 66
59, 0.6, 69
61, 0.33, 62
73, 0.19, 53
61, 0.46, 8
0, 0.84, 16
58, 0.56, 80
65, 0.6, 79
67, 0.98, 45
0, 0.84, 18
60, 0.56, 85
65, 0.65, 76
66, 0.09, 71
67, 0.65, 37
0, 1.3, 12
58, 0.51, 74
63, 0.51, 80
65, 1.1, 50
0, 0.74, 23
58, 0.51, 75
63, 0.56, 83
64, 0.19, 89
65, 0.05, 82
64, 0.19, 79
65, 0.65, 26
0, 0.93, 14
64, 0.51, 79
69, 0.46, 83
71, 1.1, 49
0, 0.84, 17
67, 0.46, 81
72, 0.56, 90
74, 1.6, 69
0, 0.46, 34
60, 0.46, 84
65, 0.6, 83
67, 1.5, 51
0, 0.51, 12
51, 0.46, 67
56, 0.56, 70
58, 1.2, 50
0, 0.88, 9
51, 0.56, 63
56, 0.56, 67
58, 0.93, 42
0, 0.88, 13
53, 0.51, 70
58, 0.51, 75
60, 0.93, 46
0, 0.84, 13
53, 0.56, 70
58, 0.46, 70
60, 0.88, 41
0, 1.1, 13
55, 0.46, 69
60, 0.46, 76
62, 1.2, 47
0, 0.74, 18
55, 0.46, 68
60, 0.51, 73
61, 0.09, 68
62, 1.2, 46
0, 0.56, 26
57, 0.46, 70
62, 0.46, 75
64, 1.2, 51
0, 0.65, 22
57, 0.19, 69
56, 0.33, 67
62, 0.46, 73
64, 1.3, 52
0, 0.46, 26
60, 0.51, 78
65, 0.51, 80
67, 1.4, 54
0, 0.33, 31
57, 0.56, 68
62, 0.46, 76
64, 1.3, 48
0, 0.46, 21
54, 0.51, 63
59, 0.51, 60
61, 0.23, 67
73, 1.0, 41
61, 0.05, 0
0, 0.56, 13
50, 0.56, 51
55, 0.46, 65
57, 0.09, 64
56, 0.14, 62
57, 0.05, 62
56, 0.19, 58
57, 0.46, 23
0, 0.84, 24
47, 0.46, 76
52, 0.56, 73
54, 0.98, 43
0, 0.65, 10
53, 0.56, 68
58, 0.46, 73
60, 0.98, 42
0, 0.6, 28
59, 0.37, 70
64, 0.6, 77
65, 0.65, 71
66, 0.32, 1
0, 0.51, 23
63, 0.56, 79
68, 0.6, 77
70, 1.3, 46
0, 5.0, 2
55, 0.46, 67
60, 0.46, 74
62, 1.2, 46
0, 0.98, 10
54, 0.46, 66
59, 0.56, 69
73, 0.84, 54
61, 0.14, 0
0, 1.2, 6
50, 0.51, 59
55, 0.51, 70
56, 0.19, 66
57, 0.05, 64
56, 0.14, 59
57, 0.51, 23
0, 0.98, 5
47, 0.6, 71
52, 0.46, 74
54, 0.98, 45
0, 0.79, 16
53, 0.6, 73
58, 0.51, 75
60, 0.93, 38
0, 0.7, 26
48, 0.56, 72
54, 0.51, 67
55, 0.7, 49
56, 0.19, 0
0, 0.88, 4
51, 0.6, 66
58, 0.6, 66
55, 0.05, 50
56, 0.84, 33
0, 0.79, 16
55, 0.51, 64
60, 0.51, 73
61, 0.37, 61
62, 0.6, 23
0, 0.88, 20
59, 0.37, 70
64, 0.6, 79
65, 0.42, 72
66, 0.14, 55
65, 0.09, 1
66, 0.14, 0
0, 1.5, 7
61, 0.51, 73
66, 0.46, 87
67, 0.23, 83
68, 0.05, 82
67, 0.09, 82
68, 0.6, 36
0, 1.0, 18
61, 0.46, 84
66, 0.46, 81
68, 2.0, 79
63, 0.51, 77
68, 0.6, 78
70, 0.23, 67
69, 0.42, 60
70, 0.33, 4
0, 1.1, 11
67, 0.46, 77
72, 0.56, 89
74, 0.74, 48
0, 1.3, 11
62, 0.51, 75
67, 0.51, 74
69, 0.93, 41
0, 0.84, 15
59, 0.46, 68
64, 0.56, 74
65, 0.42, 77
66, 0.56, 27
0, 0.7, 22
57, 0.51, 69
62, 0.46, 76
64, 1.0, 46
0, 0.65, 19
55, 0.46, 68
60, 0.51, 77
62, 0.84, 42
0, 0.79, 9
51, 0.46, 63
56, 0.56, 70
58, 1.0, 59
59, 0.19, 67
58, 0.37, 65
64, 0.6, 72
65, 0.09, 79
66, 0.56, 27
0, 0.56, 25
67, 0.46, 76
72, 0.56, 84
74, 0.79, 47
0, 0.6, 19
63, 0.42, 84
68, 0.46, 78
70, 0.42, 35
61, 0.51, 82
66, 0.46, 78
68, 0.46, 38
64, 0.56, 59
57, 0.46, 65
59, 0.56, 55
52, 0.7, 27
